Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-106.000000,1.000000,0.000000,0.998600,0.000000,0.056535
2.000000,0.000000,-105.949997,1.000000,0.000000,0.998230,0.000000,80.414932
3.000000,0.000000,-105.766663,1.000000,0.000000,0.997900,0.000000,133.663315
4.000000,0.000000,-110.025002,1.000000,0.000000,0.996220,0.000000,173.330780
5.000000,0.000000,-108.740005,1.000000,0.000000,0.995830,0.000000,177.528610
6.000000,0.000000,-111.500000,1.000000,0.000000,0.994160,-0.100248,196.155228
7.000000,0.000000,-110.514282,1.000000,0.000000,0.993180,-0.100248,174.479248
8.000000,0.000000,-110.174995,1.000000,0.000000,0.991920,-0.100248,162.059601
9.000000,0.000000,-108.944435,1.000000,0.000000,0.990480,-0.276904,168.327988
10.000000,0.000000,-109.519997,1.000000,0.000000,0.988080,-0.254225,151.509369
11.000000,0.000000,-108.545456,1.000000,0.000000,0.987720,-0.254225,149.688889
12.000000,0.000000,-108.575005,1.000000,0.000000,0.986960,-0.177039,170.811371
13.000000,0.000000,-107.692307,1.000000,0.000000,0.986640,-0.091844,157.368774
14.000000,0.000000,-107.528572,1.000000,0.000000,0.985680,-0.038563,200.356506
15.000000,0.000000,-107.073334,1.000000,0.000000,0.985240,-0.038563,182.977997
16.000000,0.000000,-106.993752,1.000000,0.000000,0.984800,-0.038563,194.182343
17.000000,0.000000,-106.470589,1.000000,0.000000,0.984010,-0.079433,191.101517
18.000000,0.000000,-106.677773,1.000000,0.000000,0.983290,-0.142719,190.091232
19.000000,0.052632,-95.431580,0.947368,0.000000,0.981660,-0.186654,179.405579
20.000000,0.050000,-95.764999,0.950000,0.000000,0.981090,-0.223418,206.740723
21.000000,0.047619,-96.742851,0.952381,0.000000,0.979450,-0.339233,241.650314
22.000000,0.045455,-97.177269,0.954545,0.000000,0.978970,-0.444891,226.038361
23.000000,0.043478,-97.269562,0.956522,0.000000,0.978630,-0.444891,206.055740
24.000000,0.041667,-97.766663,0.958333,0.000000,0.978050,-0.494455,169.771011
25.000000,0.040000,-97.935997,0.960000,0.000000,0.977680,-0.494455,182.784836
26.000000,0.038462,-98.603844,0.961538,0.000000,0.976690,-0.613458,204.433136
27.000000,0.037037,-98.807411,0.962963,0.000000,0.976290,-0.695640,204.732193
28.000000,0.035714,-98.764290,0.964286,0.000000,0.975810,-0.695640,225.618896
29.000000,0.034483,-98.782768,0.965517,0.000000,0.975410,-0.776674,210.274155
30.000000,0.033333,-99.090004,0.966667,0.000000,0.974920,-0.776674,204.710754
31.000000,0.032258,-100.025818,0.967742,0.000000,0.972690,-0.853513,197.526962
32.000000,0.031250,-100.215637,0.968750,0.000000,0.972250,-0.928845,207.970764
33.000000,0.030303,-100.451530,0.969697,0.000000,0.971640,-0.947796,225.414627
34.000000,0.029412,-100.647072,0.970588,0.000000,0.970070,-1.024780,228.950409
35.000000,0.028571,-101.234299,0.971429,0.000000,0.968710,-1.081466,219.590881
36.000000,0.027778,-101.644455,0.972222,0.000000,0.966920,-1.150168,196.143127
37.000000,0.027027,-101.551361,0.972973,0.000000,0.966530,-1.150168,212.770950
38.000000,0.026316,-101.565804,0.973684,0.000000,0.965930,-1.187834,247.110657
39.000000,0.025641,-101.489761,0.974359,0.000000,0.965520,-1.210402,256.605865
40.000000,0.025000,-101.605019,0.975000,0.000000,0.965110,-1.210402,222.563110
41.000000,0.024390,-102.065872,0.975610,0.000000,0.963800,-1.273527,238.042435
42.000000,0.023810,-102.219063,0.976190,0.000000,0.963150,-1.350408,212.660873
43.000000,0.023256,-102.437225,0.976744,0.000000,0.961880,-1.402181,218.613205
44.000000,0.022727,-102.450020,0.977273,0.000000,0.961610,-1.439183,237.345169
45.000000,0.022222,-102.588913,0.977778,0.000000,0.961040,-1.450129,240.698532
46.000000,0.021739,-102.639153,0.978261,0.000000,0.960630,-1.450129,213.333420
47.000000,0.021277,-102.512787,0.978723,0.000000,0.960000,-1.474573,232.409897
48.000000,0.020833,-103.008354,0.979167,0.000000,0.958130,-1.650173,202.858475
